id,symbol,type,entry,exit_price,pnl,pips,volume,time,exit_time,duration_minutes,strategy,result,comment
4202345416,Volatility 50 Index,BUY,162.7382,162.9448,0.83,2065.9999999998035,4.0,2025-04-20 00:13:20,2025-04-20 00:16:38,3,,WIN,Bullishbreakouta
4202345429,Volatility 100 Index,SELL,1496.72,1501.55,-2.42,-48299.99999999927,0.5,2025-04-20 00:13:22,2025-04-20 00:24:16,10,,LOSS,Bearishbreakdown
4202345457,Crash 1000 Index,SELL,4891.419,4883.3,1.62,81189.99999999687,0.2,2025-04-20 00:13:24,2025-04-20 00:18:14,4,,WIN,Bearishbreakdown
4202345472,Boom 500 Index,SELL,4710.552,4721.096,-2.11,-105439.99999999869,0.2,2025-04-20 00:13:26,2025-04-20 00:20:53,7,,LOSS,Bearishbreakdown
4202345491,Boom 1000 Index,SELL,21062.602,20954.744,21.57,1078580.0000000019,0.2,2025-04-20 00:13:27,2025-04-20 02:56:28,163,,WIN,Bearishbreakdown
4202345502,Jump 10 Index,SELL,88525.66,88634.59,-5.45,-1089299.9999999302,0.05,2025-04-20 00:13:28,2025-04-20 00:41:41,28,,LOSS,Bearishbreakdown
4202345512,Jump 50 Index,SELL,38057.44,37331.01,36.32,7264300.000000003,0.05,2025-04-20 00:13:30,2025-04-20 00:55:48,42,,WIN,Bearishbreakdown
4202345530,Jump 100 Index,SELL,2259.77,2281.79,-1.1,-220199.99999999983,0.05,2025-04-20 00:13:32,2025-04-20 01:35:11,81,,LOSS,Bearishbreakdown
4202348694,Volatility 50 Index,BUY,162.6024,162.9708,1.47,3684.0000000000828,4.0,2025-04-20 00:19:42,2025-04-20 00:22:50,3,,WIN,Bullishbreakouta
4202348711,Volatility 100 Index,SELL,1491.94,1501.55,-4.8100000000000005,-96099.999999999,0.5,2025-04-20 00:19:44,2025-04-20 00:24:16,4,,LOSS,Bearishbreakdown
4202348716,Crash 1000 Index,SELL,4883.599,4880.454,0.63,31450.000000004366,0.2,2025-04-20 00:19:46,2025-04-20 00:37:33,17,,WIN,Bearishbreakdown
4202348742,Boom 500 Index,SELL,4712.8,4721.096,-1.6600000000000001,-82959.99999999367,0.2,2025-04-20 00:19:48,2025-04-20 00:20:53,1,,LOSS,Bearishbreakdown
4202348752,Boom 1000 Index,SELL,21060.985,20954.744,21.25,1062410.0000000182,0.2,2025-04-20 00:19:49,2025-04-20 02:56:28,156,,WIN,Bearishbreakdown
4202348753,Jump 10 Index,SELL,88526.11,88634.59,-5.42,-1084799.9999999593,0.05,2025-04-20 00:19:50,2025-04-20 00:41:41,21,,LOSS,Bearishbreakdown
4202348757,Jump 50 Index,SELL,37889.36,37331.01,27.92,5583499.999999985,0.05,2025-04-20 00:19:51,2025-04-20 00:55:48,35,,WIN,Bearishbreakdown
4202348763,Jump 100 Index,SELL,2253.98,2281.79,-1.3900000000000001,-278099.9999999995,0.05,2025-04-20 00:19:53,2025-04-20 01:35:11,75,,LOSS,Bearishbreakdown
4202351704,Volatility 50 Index,BUY,162.7836,162.9507,0.67,1671.000000000049,4.0,2025-04-20 00:24:42,2025-04-20 00:25:38,0,,WIN,Bullishbreakouta
4202351733,Volatility 100 Index,SELL,1499.16,1502.16,-1.5,-30000.0,0.5,2025-04-20 00:24:46,2025-04-20 00:42:24,17,,LOSS,Bearishbreakdown
4202351755,Crash 1000 Index,SELL,4885.079,4854.806,6.05,302730.0000000014,0.2,2025-04-20 00:24:48,2025-04-20 06:26:41,361,,WIN,Bearishbreakdown
4202351770,Jump 10 Index,SELL,88470.31,88634.59,-8.21,-1642799.9999999884,0.05,2025-04-20 00:24:51,2025-04-20 00:41:41,16,,LOSS,Bearishbreakdown
4202351784,Jump 50 Index,SELL,37821.5,37324.19,24.87,4973099.999999977,0.05,2025-04-20 00:24:53,2025-04-20 00:57:22,32,,WIN,Bearishbreakdown
4202351803,Jump 100 Index,SELL,2246.65,2281.79,-1.76,-351399.9999999987,0.05,2025-04-20 00:24:55,2025-04-20 01:35:11,70,,LOSS,Bearishbreakdown
4202353547,Volatility 50 Index,BUY,162.8718,163.0445,0.69,1726.9999999999186,4.0,2025-04-20 00:28:10,2025-04-20 00:29:06,0,,WIN,Bullishbreakouta
4202353570,Volatility 100 Index,SELL,1493.65,1502.16,-4.26,-85099.99999999991,0.5,2025-04-20 00:28:12,2025-04-20 00:42:24,14,,LOSS,Bearishbreakdown
4202353584,Crash 1000 Index,SELL,4886.058,4870.722,3.07,153360.0000000024,0.2,2025-04-20 00:28:14,2025-04-20 02:27:56,119,,WIN,Bearishbreakdown
4202353598,Jump 10 Index,SELL,88463.58,88634.59,-8.55,-1710099.9999999476,0.05,2025-04-20 00:28:17,2025-04-20 00:41:41,13,,LOSS,Bearishbreakdown
4202353607,Jump 50 Index,SELL,37844.16,37324.19,26.0,5199700.000000011,0.05,2025-04-20 00:28:19,2025-04-20 00:57:22,29,,WIN,Bearishbreakdown
4202353618,Jump 100 Index,SELL,2246.9,2281.79,-1.74,-348899.9999999987,0.05,2025-04-20 00:28:21,2025-04-20 01:35:11,66,,LOSS,Bearishbreakdown
4202357260,Volatility 50 Index,BUY,163.3695,163.4373,0.27,678.0000000000541,4.0,2025-04-20 00:34:32,2025-04-20 00:53:18,18,,WIN,Bullishbreakouta
4202357325,Volatility 100 Index,SELL,1494.1,1502.16,-4.03,-80600.00000000173,0.5,2025-04-20 00:34:34,2025-04-20 00:42:24,7,,LOSS,Bearishbreakdown
4202357355,Crash 1000 Index,SELL,4887.884,4870.722,3.43,171620.00000000262,0.2,2025-04-20 00:34:36,2025-04-20 02:27:56,113,,WIN,Bearishbreakdown
4202357377,Jump 10 Index,SELL,88541.06,88634.59,-4.68,-935299.9999999884,0.05,2025-04-20 00:34:38,2025-04-20 00:41:41,7,,LOSS,Bearishbreakdown
4202357400,Jump 50 Index,SELL,37801.28,37324.19,23.85,4770899.999999965,0.05,2025-04-20 00:34:39,2025-04-20 00:57:22,22,,WIN,Bearishbreakdown
4202357417,Jump 100 Index,SELL,2233.85,2281.79,-2.4,-479400.0000000005,0.05,2025-04-20 00:34:41,2025-04-20 01:35:11,60,,LOSS,Bearishbreakdown
4202359155,Volatility 50 Index,BUY,163.1993,162.55,-2.6,-6492.9999999998245,4.0,2025-04-20 00:37:22,2025-04-20 01:37:06,59,,LOSS,Bullishbreakouta
